seed_key,manufacturer_seed_key,optical_design_seed_key,aperture_mm,image_circle_mm,model_name,notes,obstruction_pct,weight_kg,source_url
telescope.william_optics.ultracat_56,manufacturer.william_optics,optical_design.petzval,56.0,,Ultra-Cat 56,Petzval astrograph in the Ultra-Cat line.,,,https://williamoptics.com/collections/telescopes
telescope.william_optics.ultracat_76,manufacturer.william_optics,optical_design.petzval,76.0,,Ultra-Cat 76,Petzval astrograph in the Ultra-Cat line.,,,https://williamoptics.com/collections/telescopes
telescope.william_optics.pleiades_111,manufacturer.william_optics,optical_design.petzval,111.0,,Pleiades 111,Septuplet seven-element Petzval astrograph.,,,https://williamoptics.com/collections/telescopes
telescope.william_optics.fluorostar_91,manufacturer.william_optics,optical_design.triplet_refractor,91.0,,Fluorostar 91,Triplet APO in the Fluorostar line; formerly branded FLT.,,,https://williamoptics.com/collections/telescopes
telescope.william_optics.fluorostar_120,manufacturer.william_optics,optical_design.triplet_refractor,120.0,,Fluorostar 120,Triplet APO in the Fluorostar line.,,,https://williamoptics.com/collections/telescopes
telescope.william_optics.fluorostar_132,manufacturer.william_optics,optical_design.triplet_refractor,132.0,,Fluorostar 132,Triplet APO in the Fluorostar line.,,,https://williamoptics.com/collections/telescopes
telescope.william_optics.gt71_ii,manufacturer.william_optics,optical_design.triplet_refractor,71.0,,Gran Turismo 71 II,Triplet APO.,,,https://williamoptics.com/collections/telescopes
telescope.william_optics.gt81_wifd,manufacturer.william_optics,optical_design.triplet_refractor,81.0,,Gran Turismo 81 WIFD,Triplet APO with the William internal focuser; distinct from the Gran Turismo 81 IV.,,,https://williamoptics.com/collections/telescopes
telescope.william_optics.z61_ii,manufacturer.william_optics,optical_design.doublet_refractor,61.0,,ZenithStar 61 II,Doublet APO.,,,https://williamoptics.com/collections/telescopes
telescope.william_optics.z81_wifd,manufacturer.william_optics,optical_design.doublet_refractor,81.0,,ZenithStar 81 WIFD,Doublet APO with the William internal focuser.,,,https://williamoptics.com/collections/telescopes
# --- Sky-Watcher models added in the 2026 catalogue audit ---
telescope.skywatcher.esprit_150ed,manufacturer.skywatcher,optical_design.triplet_refractor,150.0,,Esprit 150ED,Triplet super APO; the largest Esprit.,,,https://www.skywatcherusa.com/products/esprit-150edx
telescope.skywatcher.evolux_62ed,manufacturer.skywatcher,optical_design.doublet_refractor,62.0,,Evolux 62ED,Doublet ED APO; takes an optional dedicated 0.9x reducer/flattener.,,,http://www.skywatcher.com/product/evolux-62ed/
telescope.skywatcher.evolux_82ed,manufacturer.skywatcher,optical_design.doublet_refractor,82.0,,Evolux 82ED,Doublet ED APO; takes an optional dedicated 0.9x reducer/flattener.,,,http://www.skywatcher.com/product/evolux-82ed/
telescope.skywatcher.quattro_150p,manufacturer.skywatcher,optical_design.newtonian,150.0,,Quattro 150P,Six-inch imaging Newtonian; the smallest Quattro.,,,https://www.skywatcherusa.com/products/quattro-150p-imaging-newtonian-6
# --- William Optics Cat / Ultra-Cat line (2026 catalogue audit) ---
telescope.william_optics.minicat_51,manufacturer.william_optics,optical_design.petzval,51.0,,MiniCat 51 WIFD,Six-element Petzval with two Super ED elements; the shortest of the Cat line.,,,https://williamoptics.com/collections/cat-series
telescope.william_optics.cat_51_wifd,manufacturer.william_optics,optical_design.petzval,51.0,,Cat 51 WIFD,Four-element Petzval. Same aperture and focal length as the RedCat 51 II under the newer Cat naming; both are kept.,,,https://williamoptics.com/collections/cat-series
telescope.william_optics.cat_61_wifd,manufacturer.william_optics,optical_design.petzval,61.0,,Cat 61 WIFD,Four-element Petzval.,,,https://williamoptics.com/collections/cat-series
telescope.william_optics.cat_71_wifd,manufacturer.william_optics,optical_design.petzval,71.0,,Cat 71 WIFD,Four-element Petzval.,,,https://williamoptics.com/collections/cat-series
telescope.william_optics.cat_91_wifd,manufacturer.william_optics,optical_design.petzval,91.0,,Cat 91 WIFD,Five-element advanced Petzval; sold within the Ultra-Cat range.,,,https://williamoptics.com/collections/cat-series
telescope.william_optics.ultracat_108,manufacturer.william_optics,optical_design.petzval,108.0,,Ultra-Cat 108,Five-element advanced Petzval.,,,https://williamoptics.com/collections/cat-series
telescope.william_optics.ultracat_131,manufacturer.william_optics,optical_design.petzval,131.0,,Ultra-Cat 131,Five-element advanced Petzval; the largest Ultra-Cat.,,,https://williamoptics.com/collections/cat-series
# --- Sharpstar models added in the 2026 catalogue audit ---
telescope.sharpstar.61edph_iii,manufacturer.sharpstar,optical_design.triplet_refractor,61.0,,61EDPH III,Triplet ED APO. Distinct optics from the 61EDPH II — 360mm at f/5.9 against the II's 335mm at f/5.5.,,,https://www.sharpstar-optics.com/
telescope.sharpstar.140ph,manufacturer.sharpstar,optical_design.triplet_refractor,140.0,,140PH,Triplet air-spaced APO with two ED elements.,,,https://www.sharpstar-optics.com/
telescope.sharpstar.20032pnt,manufacturer.sharpstar,optical_design.newtonian,200.0,,20032PNT,Parabolic Newtonian astrograph with an integrated corrector and carbon-fibre tube.,,,https://www.sharpstar-optics.com/
# --- Celestron models added in the 2026 catalogue audit ---
telescope.celestron.c5,manufacturer.celestron,optical_design.sct,127.0,,C5,5" f/10 classic Schmidt-Cassegrain; StarBright XLT coatings; the smallest of the classic C-series and sold as a spotting scope as well as a telescope; compact 1.25" visual back; no field-curvature corrector,,2.72,https://www.celestron.com/products/c5-spotting-scope
telescope.celestron.c9_25,manufacturer.celestron,optical_design.sct,235.0,,C9.25,9.25" f/10 classic Schmidt-Cassegrain; StarBright XLT coatings; a longer primary and shallower corrector than the rest of the C-series give it a reputation for the sharpest optics in the line; large SCT 3.25"-16 UNC rear thread; CGE (Losmandy) dovetail; no field-curvature corrector — the EdgeHD 925 is the same aperture with the flat-field lenses added,,9.53,https://www.celestron.com/products/c9-25-optical-tube-assembly-cge-dovetail
telescope.celestron.c14,manufacturer.celestron,optical_design.sct,356.0,,C14,14" f/11 classic Schmidt-Cassegrain; StarBright XLT coatings; the largest classic C-series tube; Fastar compatible; CGE (Losmandy) dovetail; the Celestron f/6.3 reducer is not rated for it — it is specified for the f/10 tubes up to the C11 — so no reduced configuration is seeded,,20.4,https://www.celestron.com/products/c14-optical-tube-assembly-cge-dovetail
telescope.celestron.rasa_36,manufacturer.celestron,optical_design.rasa,356.0,,RASA 36,The largest Rowe-Ackermann Schmidt Astrograph Celestron makes; 36cm at f/2.2; camera mounts at prime focus in front of the corrector so there is no visual use; the V2 revision adds the Ultra-Stable Focus System and is optically identical,,,https://www.celestron.com/products/36-cm-rowe-ackermann-schmidt-astrograph-rasa-36-optical-tube-assembly-cge-dovetail
